filename,threshold,IOU,AP
Bombus_cryptarum_45988910_1,0.1,73.41,73.5
Dasypoda_hirtipes_49552424_2,0.1,30.82,30.73
Andrena_bicolor_44969462_9,0.1,83.73,86.23
Bombus_pratorum_22708182_1,0.1,34.67,34.19
Anthidium_manicatum_12404004_3,0.1,69.01,69.09
Osmia_cornuta_11201351_1,0.1,70.08,70.32
Anthidium_manicatum_1304981_1,0.1,78.43,79.14
Osmia_bicolor_38178957_6,0.1,28.94,28.94
Andrena_haemorrhoa_5553657_1,0.1,68.15,68.06
Bombus_hortorum_45781462_1,0.1,63.23,62.58
Anthidium_manicatum_857127_1,0.1,67.87,67.84
Andrena_fulva_24609371_1,0.1,72.59,72.76
Anthophora_plumipes_5374660_1,0.1,19.15,18.9
Bombus_hypnorum_24581894_1,0.1,78.97,80.64
Andrena_vaga_62048291_1,0.1,44.4,44.09
Osmia_bicornis_22602823_1,0.1,56.62,55.05
Bombus_lucorum_28072389_1,0.1,65.93,65.29
Bombus_hortorum_6702500_1,0.1,55.69,55.21
Sphecodes_albilabris_90357348_1,0.1,28.55,28.31
Andrena_cineraria_26065975_1,0.1,73.31,73.55
Bombus_sylvarum_60553957_1,0.1,63.01,61.83
Sphecodes_albilabris_69609449_1,0.1,70.16,70.61
Anthidium_manicatum_6804945_1,0.1,77.39,79.22
Andrena_fulva_24659618_4,0.1,19.72,19.61
Osmia_bicolor_42795747_1,0.1,62.91,63.04
Andrena_haemorrhoa_18445954_1,0.1,53.74,53.55
Andrena_haemorrhoa_22954837_1,0.1,71.46,72.14
Bombus_lucorum_24301194_1,0.1,69.18,69.28
Andrena_vaga_10231437_3,0.1,72.54,72.83
Bombus_pratorum_42398547_1,0.1,19.2,19.2
Bombus_hypnorum_14006535_2,0.1,72.16,71.65
Xylocopa_violacea_53072790_1,0.1,63.92,63.83
Bombus_lucorum_9419833_1,0.1,78.7,78.26
Dasypoda_hirtipes_29135525_2,0.1,32.37,32.11
Andrena_bicolor_39748872_6,0.1,76.98,77.36
Halictus_scabiosae_30086116_1,0.1,75.67,75.75
Sphecodes_albilabris_22291515_1,0.1,56.65,56.39
Xylocopa_violacea_45461022_1,0.1,69.96,69.71
Bombus_lapidarius_9991932_1,0.1,28.27,27.63
Bombus_hortorum_18371744_1,0.1,44.78,47.94
Andrena_cineraria_24688135_1,0.1,62.83,62.42
Bombus_terrestris_50780653_1,0.1,62.91,62.79
Bombus_sylvarum_79943600_1,0.1,82.58,82.96
Andrena_haemorrhoa_22149444_1,0.1,77.53,78.06
Osmia_bicornis_21203276_2,0.1,69.9,69.51
Sphecodes_albilabris_73646900_2,0.1,70.39,69.18
Bombus_hortorum_8403530_2,0.1,62.55,61.29
Bombus_sylvarum_78120926_1,0.1,49.2,45.63
Bombus_pascuorum_72272761_1,0.1,77.07,77.21
Andrena_flavipes_41517541_2,0.1,66.75,66.74
Andrena_flavipes_40743063_1,0.1,70.27,70.28
Andrena_flavipes_41645266_1,0.1,75.9,76.26
Bombus_lapidarius_20726667_1,0.1,62.31,62.16
Dasypoda_hirtipes_45600881_1,0.1,69.89,69.72
Bombus_pratorum_27567595_1,0.1,69.19,68.97
Anthophora_plumipes_9402304_1,0.1,60.31,59.8
Bombus_pascuorum_70675892_2,0.1,70.11,71.7
Andrena_fulva_41690279_1,0.1,83.86,84.94
Andrena_vaga_22464711_1,0.1,71.06,70.69
Bombus_pratorum_27076813_1,0.1,59.52,59.64
Xylocopa_violacea_52292694_2,0.1,78.79,78.84
Bombus_hypnorum_26355278_1,0.1,87.13,87.45
Andrena_haemorrhoa_22510325_1,0.1,75.06,74.92
Andrena_fulva_24953801_1,0.1,15.45,15.45
Andrena_cineraria_41305528_1,0.1,77.89,77.94
Bombus_sylvarum_82068850_1,0.1,75.07,74.92
Halictus_scabiosae_29927466_1,0.1,68.1,67.85
Halictus_scabiosae_30796477_2,0.1,75.93,76.38
Anthophora_plumipes_5525688_1,0.1,60.36,60.21
Bombus_cryptarum_83092852_1,0.1,64.5,64.47
Bombus_lapidarius_25256637_1,0.1,0.0,4.19
Andrena_flavipes_45074705_1,0.1,78.54,78.57
Halictus_scabiosae_33086382_1,0.1,24.81,23.75
Andrena_haemorrhoa_9257626_1,0.1,64.9,64.9
Osmia_cornuta_557630_4,0.1,36.97,39.88
Anthophora_plumipes_12191275_1,0.1,65.35,64.98
Andrena_flavipes_5795371_1,0.1,63.98,63.79
Sphecodes_albilabris_69270813_1,0.1,44.12,43.85
Osmia_bicolor_42329601_1,0.1,9.46,9.46
Bombus_pratorum_26971945_1,0.1,47.36,47.42
Osmia_bicornis_26401872_1,0.1,84.99,85.86
Bombus_pascuorum_70829784_1,0.1,75.88,80.2
Anthophora_plumipes_21870754_1,0.1,81.36,85.58
Halictus_scabiosae_36269381_1,0.1,12.32,12.3
Sphecodes_albilabris_21297069_1,0.1,65.02,64.79
Andrena_cineraria_25076335_1,0.1,73.99,75.12
Osmia_bicolor_66131327_1,0.1,46.67,46.66
