img_id,threshold,eig_ind,IOU
42.0,0.36,2.0,3.79226878285408
42.0,0.36,3.0,31.860315799713135
42.0,0.36,4.0,21.662530303001404
43.0,0.36,0.0,70.63652276992798
43.0,0.36,1.0,35.40996313095093
43.0,0.36,2.0,36.79155111312866
43.0,0.36,3.0,23.827962577342987
43.0,0.36,4.0,29.65404987335205
44.0,0.36,0.0,64.20193314552307
44.0,0.36,1.0,15.560099482536316
44.0,0.36,2.0,15.55498093366623
44.0,0.36,3.0,9.816327691078186
44.0,0.36,4.0,9.989841282367706
45.0,0.36,0.0,83.27738046646118
45.0,0.36,1.0,11.839282512664795
45.0,0.36,2.0,16.859997808933258
45.0,0.36,3.0,15.447726845741272
45.0,0.36,4.0,17.394107580184937
46.0,0.36,0.0,80.08757829666138
46.0,0.36,1.0,21.92600965499878
46.0,0.36,2.0,16.057640314102173
46.0,0.36,3.0,16.234801709651947
46.0,0.36,4.0,17.100565135478973
47.0,0.36,0.0,72.9083240032196
47.0,0.36,1.0,2.059727907180786
47.0,0.36,2.0,5.026766657829285
47.0,0.36,3.0,3.982413560152054
47.0,0.36,4.0,6.928354501724243
48.0,0.36,0.0,82.67355561256409
48.0,0.36,1.0,17.55727082490921
48.0,0.36,2.0,16.53324067592621
48.0,0.36,3.0,13.92161101102829
48.0,0.36,4.0,20.04486918449402
49.0,0.36,0.0,78.65683436393738
49.0,0.36,1.0,40.57932794094086
49.0,0.36,2.0,18.33612620830536
49.0,0.36,3.0,19.457416236400604
49.0,0.36,4.0,18.394853174686432
50.0,0.36,0.0,72.15907573699951
50.0,0.36,1.0,27.227893471717834
50.0,0.36,2.0,16.45100861787796
50.0,0.36,3.0,17.144735157489777
50.0,0.36,4.0,16.936059296131134
51.0,0.36,0.0,63.495934009552
51.0,0.36,1.0,41.49073660373688
51.0,0.36,2.0,3.2126571983098984
51.0,0.36,3.0,11.842311173677444
51.0,0.36,4.0,7.023745030164719
52.0,0.36,0.0,74.01055693626404
52.0,0.36,1.0,2.1850034594535828
52.0,0.36,2.0,1.2815140187740326
52.0,0.36,3.0,2.5384997949004173
52.0,0.36,4.0,2.820993587374687
53.0,0.36,0.0,79.65402007102966
53.0,0.36,1.0,11.842666566371918
53.0,0.36,2.0,10.418267548084259
53.0,0.36,3.0,11.998633295297623
53.0,0.36,4.0,14.159466326236725
54.0,0.36,0.0,70.90316414833069
54.0,0.36,1.0,3.062528930604458
54.0,0.36,2.0,24.66261386871338
54.0,0.36,3.0,2.8642838820815086
54.0,0.36,4.0,3.418879956007004
55.0,0.36,0.0,71.44631743431091
55.0,0.36,1.0,1.037414651364088
55.0,0.36,2.0,1.9138094037771225
55.0,0.36,3.0,2.2283272817730904
55.0,0.36,4.0,2.365233190357685
56.0,0.36,0.0,78.65028381347656
56.0,0.36,1.0,5.200362950563431
56.0,0.36,2.0,4.1304729878902435
56.0,0.36,3.0,7.623746246099472
56.0,0.36,4.0,6.532105803489685
57.0,0.36,0.0,51.454877853393555
57.0,0.36,1.0,10.862419754266739
57.0,0.36,2.0,10.523255169391632
57.0,0.36,3.0,9.43145751953125
57.0,0.36,4.0,9.322784841060638
58.0,0.36,0.0,80.83215355873108
58.0,0.36,1.0,13.587567210197449
58.0,0.36,2.0,35.242584347724915
58.0,0.36,3.0,22.748418152332306
58.0,0.36,4.0,11.42326220870018
59.0,0.36,0.0,63.29208016395569
59.0,0.36,1.0,1.3274545781314373
59.0,0.36,2.0,1.4552530832588673
59.0,0.36,3.0,11.989408731460571
59.0,0.36,4.0,1.5511306934058666
60.0,0.36,0.0,76.229327917099
60.0,0.36,1.0,8.929038047790527
60.0,0.36,2.0,5.975773185491562
60.0,0.36,3.0,6.707993149757385
60.0,0.36,4.0,21.419347822666168
61.0,0.36,0.0,67.88536310195923
61.0,0.36,1.0,2.9900796711444855
61.0,0.36,2.0,0.1824116799980402
61.0,0.36,3.0,3.6377768963575363
61.0,0.36,4.0,34.99999940395355
62.0,0.36,0.0,76.04873180389404
62.0,0.36,1.0,2.644781209528446
62.0,0.36,2.0,2.7969099581241608
62.0,0.36,3.0,2.860129252076149
62.0,0.36,4.0,3.5340145230293274
63.0,0.36,0.0,78.76325845718384
63.0,0.36,1.0,33.78155529499054
63.0,0.36,2.0,17.580725252628326
63.0,0.36,3.0,23.014818131923676
63.0,0.36,4.0,27.1838515996933
64.0,0.36,0.0,62.05417513847351
64.0,0.36,1.0,2.666435018181801
64.0,0.36,2.0,2.185669355094433
64.0,0.36,3.0,3.231574594974518
64.0,0.36,4.0,3.963284194469452
65.0,0.36,0.0,75.5041778087616
65.0,0.36,1.0,3.3719904720783234
65.0,0.36,2.0,24.767795205116272
65.0,0.36,3.0,4.5296560972929
65.0,0.36,4.0,20.482169091701508
66.0,0.36,0.0,84.69335436820984
66.0,0.36,1.0,1.3294659554958344
66.0,0.36,2.0,12.47083991765976
66.0,0.36,3.0,15.677449107170105
66.0,0.36,4.0,23.964329063892365
67.0,0.36,0.0,73.43039512634277
67.0,0.36,1.0,7.728234678506851
67.0,0.36,2.0,5.748656392097473
